event_id,first_z,max_abs_z,reclaim,side,trading_date
2026-03-23|below|1774283100,-2.1360773498715653,2.1360773498715653,True,below,2026-03-23
2026-03-24|above|1774362600,2.173907323387624,2.173907323387624,True,above,2026-03-24
2026-03-24|above|1774363800,2.118437592226341,2.118437592226341,True,above,2026-03-24
2026-03-25|above|1774443600,2.167686263699849,2.167686263699849,True,above,2026-03-25
2026-03-26|below|1774529100,-2.699931538384557,3.4951028296556923,True,below,2026-03-26
2026-03-26|above|1774531200,2.5054224928727935,2.5054224928727935,True,above,2026-03-26
2026-03-26|above|1774532400,2.76429203879262,2.76429203879262,True,above,2026-03-26
2026-03-26|above|1774533000,2.1027441568752314,2.1027441568752314,True,above,2026-03-26
2026-03-26|above|1774535400,3.0044245391938236,3.0044245391938236,True,above,2026-03-26
2026-03-26|below|1774541700,-2.0665231394369745,2.8998206568496507,True,below,2026-03-26
2026-03-27|above|1774620000,3.524372552831701,3.524372552831701,True,above,2026-03-27
2026-03-27|above|1774621800,2.0786388915783354,2.0786388915783354,True,above,2026-03-27
2026-03-27|above|1774622700,2.1732072091486274,2.8986972211106283,True,above,2026-03-27
2026-03-30|above|1774875600,2.080345629875797,2.080345629875797,True,above,2026-03-30
2026-03-30|below|1774878000,-2.526430007513463,2.526430007513463,True,below,2026-03-30
2026-03-30|below|1774878900,-2.358280286397078,2.358280286397078,True,below,2026-03-30
2026-04-01|below|1775048100,-2.23770088903929,2.5571356860333605,True,below,2026-04-01
2026-04-01|above|1775054100,2.071211388125927,3.346977293331865,True,above,2026-04-01
2026-04-02|below|1775134500,-3.0783340052553596,3.0783340052553596,True,below,2026-04-02
2026-04-02|above|1775137500,2.0975673630097016,2.0975673630097016,True,above,2026-04-02
2026-04-02|above|1775139600,2.1754906243028103,2.1754906243028103,True,above,2026-04-02
2026-04-06|above|1775483400,2.8069576782368273,2.8069576782368273,True,above,2026-04-06
2026-04-06|above|1775484900,2.9076886648053226,3.011393268811734,True,above,2026-04-06
2026-04-06|below|1775489700,-2.2095174459319704,2.2095174459319704,True,below,2026-04-06
2026-04-07|below|1775565900,-2.1757038360940064,2.1757038360940064,True,below,2026-04-07
2026-04-07|below|1775569200,-2.1401363885174343,2.1401363885174343,True,below,2026-04-07
2026-04-07|below|1775570400,-2.495015063933771,2.495015063933771,True,below,2026-04-07
2026-04-08|below|1775658600,-2.5253612801436627,2.5253612801436627,True,below,2026-04-08
2026-04-08|below|1775660100,-2.284449878876631,2.284449878876631,True,below,2026-04-08
2026-04-09|above|1775739300,2.0021153699884047,2.0021153699884047,True,above,2026-04-09
2026-04-09|above|1775739900,2.7986555571273497,2.7986555571273497,True,above,2026-04-09
2026-04-09|above|1775741700,2.1822747414729946,2.1822747414729946,True,above,2026-04-09
2026-04-09|above|1775748600,2.137135458305281,2.137135458305281,True,above,2026-04-09
2026-04-10|above|1775830200,2.2237003056261972,3.277493653480074,True,above,2026-04-10
2026-04-10|below|1775835300,-2.205370370701393,2.205370370701393,True,below,2026-04-10
2026-04-10|below|1775836800,-2.5988175561895437,2.5988175561895437,True,below,2026-04-10
2026-04-13|above|1776084300,2.270102454749643,2.270102454749643,True,above,2026-04-13
2026-04-13|below|1776092400,-2.0488061402111994,2.0488061402111994,True,below,2026-04-13
2026-04-13|below|1776093900,-2.0183807023741083,2.0183807023741083,True,below,2026-04-13
2026-04-14|above|1776171600,2.169518464070651,2.169518464070651,True,above,2026-04-14
2026-04-14|above|1776172200,2.3994653354833484,2.3994653354833484,True,above,2026-04-14
2026-04-15|above|1776258300,2.471725478985397,2.471725478985397,True,above,2026-04-15
2026-04-15|above|1776259200,2.53801257469685,2.858844497023435,True,above,2026-04-15
2026-04-15|above|1776260100,2.260226899830847,2.260226899830847,True,above,2026-04-15
2026-04-15|above|1776260700,2.1612494300640237,2.1612494300640237,True,above,2026-04-15
2026-04-15|above|1776261300,2.005311792446377,2.005311792446377,True,above,2026-04-15
2026-04-15|below|1776266700,-2.4017663167241854,2.4017663167241854,True,below,2026-04-15
